customer_id,gender,senior_citizen,tenure_months,monthly_fee,total_charges,payment_method,subscription_plan,churned
3841-NFECX,Female,1,71,96.35,6766.95,Credit Card,Premium,No
4929-XIHVW,Male,1,2,95.5,181.65,Credit Card,Premium,No
6827-IEAUQ,Female,0,27,66.15,1874.45,Mailed,Standard,No
7310-EGVHZ,Male,0,1,20.2,20.2,Bank Transfer,Basic,No
3413-BMNZE,Male,1,1,45.25,45.25,Bank Transfer,Basic,No
6234-RAAPL,Female,0,72,99.9,7251.7,Bank Transfer,Premium,No
6047-YHPVI,Male,0,5,69.7,316.9,Electronic,Standard,Yes
6572-ADKRS,Female,0,46,74.8,3548.3,Credit Card,Standard,No
5380-WJKOV,Male,0,34,106.35,3549.25,Electronic,Premium,Yes
8168-UQWWF,Female,0,11,97.85,1105.4,Bank Transfer,Premium,Yes
8865-TNMNX,Male,0,10,49.55,475.7,Mailed,Basic,No
9489-DEDVP,Female,0,70,69.2,4872.35,Credit Card,Standard,No
9867-JCZSP,Female,0,17,20.75,418.25,Mailed,Basic,No
4671-VJLCL,Female,0,63,79.85,4861.45,Credit Card,Standard,No
4080-IIARD,Female,0,13,76.2,981.45,Electronic,Standard,No
3714-NTNFO,Female,0,49,84.5,3906.7,Electronic,Premium,No
5948-UJZLF,Male,0,2,49.25,97.0,Mailed,Basic,No
7760-OYPDY,Female,0,2,80.65,144.15,Electronic,Premium,Yes
7639-LIAYI,Male,0,52,79.75,4217.8,Credit Card,Standard,No
2954-PIBKO,Female,0,69,64.15,4254.1,Credit Card,Standard,No
8012-SOUDQ,Female,1,43,90.25,3838.75,Electronic,Premium,No
9420-LOJKX,Female,0,15,99.1,1426.4,Credit Card,Premium,Yes
6575-SUVOI,Female,1,25,69.5,1752.65,Credit Card,Standard,No
7495-OOKFY,Female,1,8,80.65,633.3,Credit Card,Premium,Yes
4667-QONEA,Female,1,60,74.85,4456.35,Credit Card,Standard,No
1658-BYGOY,Male,1,18,95.45,1752.55,Electronic,Premium,Yes
8769-KKTPH,Female,0,63,99.65,6311.2,Credit Card,Premium,No
5067-XJQFU,Male,1,66,108.45,7076.35,Electronic,Premium,No
3957-SQXML,Female,0,34,24.95,894.3,Credit Card,Basic,No
5954-BDFSG,Female,0,72,107.5,7853.7,Credit Card,Premium,No
0434-CSFON,Female,0,47,100.5,4707.1,Electronic,Premium,No
1215-FIGMP,Male,0,60,89.9,5450.7,Bank Transfer,Premium,No
0526-SXDJP,Male,0,72,42.1,2962.0,Bank Transfer,Basic,No
0557-ASKVU,Female,0,18,54.4,957.1,Credit Card,Standard,No
5698-BQJOH,Female,0,9,94.4,857.25,Electronic,Premium,Yes
5122-CYFXA,Female,0,3,75.3,244.1,Electronic,Standard,No
8627-ZYGSZ,Male,0,47,78.9,3650.35,Electronic,Standard,No
3410-YOQBQ,Female,0,31,79.2,2497.2,Mailed,Standard,No
3170-NMYVV,Female,0,50,20.15,930.9,Bank Transfer,Basic,No
7410-OIEDU,Male,0,10,79.85,887.35,Mailed,Standard,No
2273-QCKXA,Male,0,1,49.05,49.05,Mailed,Basic,No
0731-EBJQB,Female,0,52,20.4,1090.65,Electronic,Basic,No
1891-QRQSA,Male,1,64,111.6,7099.0,Bank Transfer,Premium,No
8028-PNXHQ,Male,0,62,24.25,1424.6,Bank Transfer,Basic,No
5630-AHZIL,Female,0,3,64.5,177.4,Bank Transfer,Standard,No
2673-CXQEU,Female,1,56,110.5,6139.5,Electronic,Premium,No
6416-JNVRK,Female,0,46,55.65,2688.85,Credit Card,Standard,No
5590-ZSKRV,Female,0,8,54.65,482.25,Mailed,Standard,No
0191-ZHSKZ,Male,1,30,74.75,2111.3,Electronic,Standard,No
3887-PBQAO,Female,0,45,25.9,1216.6,Credit Card,Basic,No
5919-TMRGD,Female,0,1,79.35,79.35,Electronic,Standard,Yes
8108-UXRQN,Female,0,11,50.55,565.35,Electronic,Standard,No
9191-MYQKX,Female,0,7,75.15,496.9,Bank Transfer,Standard,Yes
9919-YLNNG,Female,0,42,103.8,4327.5,Bank Transfer,Premium,No
0318-ZOPWS,Female,0,49,20.15,973.35,Bank Transfer,Basic,No
4445-ZJNMU,Male,0,9,99.3,918.75,Credit Card,Premium,No
4808-YNLEU,Female,0,35,62.15,2215.45,Bank Transfer,Standard,No
1862-QRWPE,Female,0,48,20.65,1057.0,Bank Transfer,Basic,No
2796-NNUFI,Female,0,46,19.95,927.1,Mailed,Basic,No
3016-KSVCP,Male,0,29,33.75,1009.25,Mailed,Basic,No
4767-HZZHQ,Male,0,30,82.05,2570.2,Bank Transfer,Premium,No
2424-WVHPL,Male,1,1,74.7,74.7,Electronic,Standard,No
7233-PAHHL,Male,0,66,84.0,5714.25,Mailed,Premium,No
6067-NGCEU,Female,0,65,111.05,7107.0,Credit Card,Premium,No
9848-JQJTX,Male,0,72,100.9,7459.05,Bank Transfer,Premium,No
8637-XJIVR,Female,0,12,78.95,927.35,Electronic,Standard,Yes
9803-FTJCG,Male,0,71,66.85,4748.7,Credit Card,Standard,No
0278-YXOOG,Male,0,5,21.05,113.85,Mailed,Basic,Yes
3212-KXOCR,Male,0,52,21.0,1107.2,Bank Transfer,Basic,No
4598-XLKNJ,Female,1,25,98.5,2514.5,Electronic,Premium,Yes
6380-ARCEH,Male,0,1,20.2,20.2,Mailed,Basic,No
3679-XASPY,Female,0,1,19.45,19.45,Electronic,Basic,No
7123-WQUHX,Male,0,38,95.0,3605.6,Bank Transfer,Premium,No
5386-THSLQ,Female,1,66,45.55,3027.25,Bank Transfer,Basic,No
3192-NQECA,Male,0,68,110.0,7611.85,Bank Transfer,Premium,Yes
6180-YBIQI,Male,0,5,24.3,100.2,Mailed,Basic,No
6728-DKUCO,Female,0,72,104.15,7303.05,Electronic,Premium,No
9750-BOOHV,Female,0,32,30.15,927.65,Mailed,Basic,No
8597-CWYHH,Male,0,43,94.35,3921.3,Mailed,Premium,No
2848-YXSMW,Male,0,72,19.4,1363.25,Credit Card,Basic,No
0486-HECZI,Male,0,55,96.75,5238.9,Electronic,Premium,Yes
4549-ZDQYY,Female,0,52,57.95,3042.25,Credit Card,Standard,No
5712-AHQNN,Female,0,43,91.65,3954.1,Electronic,Premium,No
4846-WHAFZ,Female,1,37,76.5,2868.15,Electronic,Standard,Yes
5256-SKJGO,Female,0,64,54.6,3423.5,Electronic,Standard,No
3071-VBYPO,Male,0,3,89.85,248.4,Electronic,Premium,No
9560-BBZXK,Female,0,36,31.05,1126.35,Bank Transfer,Basic,No
5299-RULOA,Female,0,10,100.25,1064.65,Electronic,Premium,Yes
8402-OOOHJ,Female,0,41,20.65,835.15,Mailed,Basic,No
9445-ZUEQE,Male,0,27,85.2,2151.6,Credit Card,Premium,No
1091-SOZGA,Female,0,56,99.8,5515.45,Credit Card,Premium,No
2928-HLDBA,Female,0,6,20.7,112.75,Mailed,Basic,No
0404-SWRVG,Male,0,3,74.4,229.55,Electronic,Standard,Yes
6497-TILVL,Female,0,7,50.7,350.35,Mailed,Standard,No
7219-TLZHO,Female,0,4,20.85,62.9,Mailed,Basic,No
4622-YNKIJ,Male,0,33,88.95,3027.65,Electronic,Premium,No
4412-YLTKF,Female,1,27,78.05,2135.5,Electronic,Standard,Yes
6734-PSBAW,Male,0,72,23.55,1723.95,Bank Transfer,Basic,No
3930-ZGWVE,Male,0,1,19.75,19.75,Mailed,Basic,No
2639-UGMAZ,Male,1,71,56.45,3985.35,Electronic,Standard,No
2876-GZYZC,Female,0,13,85.95,1215.65,Electronic,Premium,No
6207-WIOLX,Female,0,25,58.6,1502.65,Credit Card,Standard,Yes
8587-XYZSF,Male,0,67,50.55,3260.1,Bank Transfer,Standard,No
3091-FYHKI,Male,0,1,35.45,35.45,Electronic,Basic,Yes
2372-HWUHI,Male,0,2,44.35,81.25,Electronic,Basic,Yes
7799-LGRDP,Female,0,43,25.7,1188.2,Credit Card,Basic,No
7850-VWJUU,Female,0,23,75.0,1778.5,Bank Transfer,Standard,No
3774-VBNXY,Female,0,64,20.2,1277.75,Mailed,Basic,No
6217-KDYWC,Male,0,57,19.6,1170.55,Mailed,Basic,No
0390-DCFDQ,Female,1,1,70.45,70.45,Mailed,Standard,Yes
3146-MSEGF,Female,1,72,88.05,6425.65,Credit Card,Premium,No
4080-OGPJL,Female,0,8,71.15,563.65,Electronic,Standard,Yes
1095-WGNGG,Female,0,61,101.05,5971.25,Bank Transfer,Premium,No
2636-SJDOU,Male,0,64,84.3,5289.05,Credit Card,Premium,No
1131-QQZEB,Male,1,71,23.95,1756.2,Bank Transfer,Basic,No
5716-EZXZN,Female,0,65,99.05,6416.7,Credit Card,Premium,No
6837-BJYDQ,Male,0,3,19.6,61.35,Mailed,Basic,No
2135-RXIHG,Male,0,1,45.65,45.65,Electronic,Basic,Yes
6440-DKQGE,Male,0,30,64.5,1929.95,Credit Card,Standard,No
3466-BYAVD,Male,0,15,69.5,1071.4,Mailed,Standard,No
3780-YVMFA,Female,0,8,68.55,564.35,Electronic,Standard,No
3874-EQOEP,Male,0,7,95.0,655.5,Mailed,Premium,Yes
1679-JRFBR,Female,0,70,108.15,7930.55,Credit Card,Premium,No
9073-ZZIAY,Male,0,62,86.1,5215.25,Electronic,Premium,No
3077-RSNTJ,Female,0,6,19.7,113.5,Mailed,Basic,No
6551-GNYDG,Female,0,14,80.9,1152.8,Bank Transfer,Premium,No
9167-APMXZ,Female,0,22,84.15,1821.95,Bank Transfer,Premium,No
2749-CTKAJ,Male,0,22,20.15,419.9,Mailed,Basic,No
6371-NZYEG,Male,0,16,64.25,1024.0,Mailed,Standard,No
7554-NEWDD,Male,0,10,25.7,251.6,Bank Transfer,Basic,No
8992-VONJD,Female,0,13,56.0,764.55,Electronic,Standard,No
0867-MKZVY,Female,0,20,82.4,1592.35,Electronic,Premium,Yes
4482-EWFMI,Female,0,2,69.7,135.2,Electronic,Standard,No
4648-YPBTM,Male,0,53,73.9,3958.25,Bank Transfer,Standard,No
2907-ILJBN,Female,0,11,20.6,233.9,Mailed,Basic,No
6345-FZOQH,Male,0,69,19.9,1363.45,Mailed,Basic,No
3376-BMGFE,Female,0,4,70.9,273.0,Bank Transfer,Standard,Yes
5997-OPVFA,Male,0,72,89.05,6254.45,Bank Transfer,Premium,No
3445-HXXGF,Male,1,58,45.3,2651.2,Electronic,Basic,Yes
1159-WFSGR,Female,0,16,20.4,321.4,Electronic,Basic,No
7654-YWJUF,Male,0,43,84.25,3539.25,Bank Transfer,Premium,No
1875-QIVME,Female,0,2,104.4,242.8,Electronic,Premium,Yes
6727-IOTLZ,Male,0,14,81.95,1181.75,Mailed,Premium,No
0691-JVSYA,Female,0,53,94.85,5000.2,Bank Transfer,Premium,Yes
5918-VUKWP,Female,0,32,20.55,654.55,Bank Transfer,Basic,No
1744-JHKYS,Female,0,34,24.7,780.2,Electronic,Basic,No
2656-FMOKZ,Female,1,15,74.45,1145.7,Mailed,Standard,Yes
2070-FNEXE,Female,1,7,76.45,503.6,Bank Transfer,Standard,Yes
5947-SGKCL,Female,0,15,105.35,1559.25,Bank Transfer,Premium,No
3712-PKXZA,Male,0,61,20.55,1252.0,Credit Card,Basic,No
6317-YPKDH,Female,0,1,29.95,29.95,Bank Transfer,Basic,Yes
6582-OIVSP,Female,0,1,45.3,45.3,Mailed,Basic,No
9367-WXLCH,Male,0,8,84.5,662.65,Bank Transfer,Premium,Yes
5524-KHNJP,Male,0,33,74.75,2453.3,Credit Card,Standard,No
1918-ZBFQJ,Female,0,13,79.25,1111.65,Electronic,Standard,Yes
1024-GUALD,Female,0,1,24.8,24.8,Electronic,Basic,Yes
4827-USJHP,Male,0,20,51.8,1023.85,Mailed,Standard,No
8167-GJLRN,Male,0,3,30.4,82.15,Electronic,Basic,No
0956-SYCWG,Female,0,13,19.65,244.8,Electronic,Basic,No
8017-UVSZU,Female,0,40,56.6,2379.1,Credit Card,Standard,No
7100-FQPRV,Male,0,43,71.9,3173.35,Credit Card,Standard,No
2472-OVKUP,Male,0,6,91.0,531.0,Electronic,Premium,Yes
2984-RGEYA,Female,0,69,19.75,1375.4,Bank Transfer,Basic,No
9680-NIAUV,Female,0,72,109.7,8129.3,Credit Card,Premium,No
2146-EGVDT,Male,0,59,19.3,1192.7,Credit Card,Basic,No
2604-IJPDU,Female,0,20,96.55,1901.65,Electronic,Premium,No
9178-JHUVJ,Male,0,24,24.1,587.4,Bank Transfer,Basic,No
6168-YBYNP,Male,0,59,111.35,6519.75,Electronic,Premium,No
7255-SSFBC,Male,0,72,112.25,8041.65,Bank Transfer,Premium,No
3645-DEYGF,Male,0,1,20.75,20.75,Mailed,Basic,No
9323-HGFWY,Female,0,27,101.9,2681.15,Credit Card,Premium,No
8544-GOQSH,Female,0,14,80.05,1112.3,Credit Card,Premium,No
3363-DTIVD,Male,0,71,105.55,7405.5,Electronic,Premium,No
7018-WBJNK,Male,0,13,78.3,1033.95,Credit Card,Standard,No
9142-KZXOP,Male,0,44,68.85,2958.95,Credit Card,Standard,No
7674-YTAFD,Female,0,33,79.95,2684.85,Bank Transfer,Standard,No
6348-SNFUS,Male,0,72,55.45,4179.2,Credit Card,Standard,No
1285-OKIPP,Male,0,1,79.9,79.9,Electronic,Standard,Yes
7825-ECJRF,Female,0,19,106.6,1934.45,Electronic,Premium,Yes
1347-KTTTA,Male,0,64,102.45,6654.1,Credit Card,Premium,No
7841-TZDMQ,Male,0,2,46.0,84.5,Credit Card,Basic,Yes
4195-NZGTA,Female,0,1,25.25,25.25,Electronic,Basic,No
7157-SMCFK,Male,0,61,19.75,1124.2,Mailed,Basic,No
4709-LKHYG,Female,0,29,20.0,540.05,Electronic,Basic,No
2504-DSHIH,Male,1,23,86.8,1975.85,Electronic,Premium,No
0699-NDKJM,Female,0,57,58.75,3437.45,Bank Transfer,Standard,No
9286-BHDQG,Male,0,72,45.25,3139.8,Credit Card,Basic,No
0230-WEQUW,Male,0,66,56.6,3789.2,Bank Transfer,Standard,No
2040-LDIWQ,Male,0,65,84.2,5324.5,Bank Transfer,Premium,No
6496-JDSSB,Female,0,8,80.0,624.6,Bank Transfer,Premium,No
9408-SSNVZ,Female,0,4,70.15,268.35,Electronic,Standard,Yes
4443-EMBNA,Female,0,71,24.75,1836.9,Bank Transfer,Basic,No
6469-MRVET,Male,0,1,20.2,20.2,Electronic,Basic,No
0742-MOABM,Male,0,4,50.05,179.35,Mailed,Standard,Yes
5961-VUSRV,Female,0,12,19.35,219.35,Bank Transfer,Basic,No
6778-JFCMK,Male,0,24,50.6,1288.75,Mailed,Standard,No
6341-JVQGF,Female,0,31,81.15,2545.75,Mailed,Premium,No
2232-DMLXU,Female,0,1,55.2,55.2,Mailed,Standard,Yes
4811-JBUVU,Male,0,30,89.9,2723.15,Credit Card,Premium,No
0945-TSONX,Female,0,47,85.3,4107.25,Credit Card,Premium,No
2651-ZCBXV,Male,0,54,108.0,5760.65,Credit Card,Premium,No
3316-UWXUY,Male,0,50,93.5,4747.5,Credit Card,Premium,No
8937-RDTHP,Male,0,1,84.6,84.6,Mailed,Premium,Yes
7083-MIOPC,Female,0,72,20.25,1566.9,Credit Card,Basic,No
1984-GPTEH,Female,0,29,25.15,702.0,Electronic,Basic,No
1251-KRREG,Male,0,2,54.4,114.1,Mailed,Standard,Yes
0621-JFHOL,Female,0,10,29.6,299.05,Mailed,Basic,No
9903-LYSAB,Male,0,18,73.15,1305.95,Electronic,Standard,No
0094-OIFMO,Female,1,11,95.0,1120.3,Electronic,Premium,Yes
9227-UAQFT,Male,0,16,19.75,284.35,Mailed,Basic,No
7301-ABVAD,Female,0,72,86.6,6350.5,Bank Transfer,Premium,No
6614-FHDBO,Male,0,72,109.2,7878.3,Bank Transfer,Premium,No
7576-ASEJU,Female,0,41,74.7,3187.65,Credit Card,Standard,No
9058-HRZSV,Female,1,65,94.4,6126.15,Electronic,Premium,No
4522-AKYLR,Female,1,13,54.8,731.3,Electronic,Standard,No
0221-WMXNQ,Male,1,4,75.35,273.4,Electronic,Standard,No
0303-UNCIP,Male,0,41,65.0,2531.8,Mailed,Standard,No
9947-OTFQU,Male,1,15,74.4,1074.3,Electronic,Standard,Yes
0322-YINQP,Male,0,1,48.55,48.55,Mailed,Basic,Yes
0959-WHOKV,Male,0,42,99.0,4298.45,Electronic,Premium,No
4075-JFPGR,Female,0,51,93.5,4619.55,Electronic,Premium,No
4629-NRXKX,Female,0,2,70.4,147.15,Electronic,Standard,Yes
9514-JDSKI,Male,1,1,40.2,40.2,Electronic,Basic,Yes
3282-ZISZV,Male,0,32,83.7,2633.3,Credit Card,Premium,No
3675-YDUPJ,Male,0,10,19.85,193.05,Mailed,Basic,No
4111-BNXIF,Female,0,67,59.55,4103.9,Electronic,Standard,No
7017-VFHAY,Female,0,61,115.1,7008.15,Credit Card,Premium,No
6655-LHBYW,Male,0,50,114.35,5791.1,Credit Card,Premium,No
4959-JOSRX,Female,0,2,44.6,80.55,Credit Card,Basic,Yes
5046-NUHWD,Female,1,29,45.0,1228.65,Electronic,Basic,No
7273-TEFQD,Male,1,3,41.15,132.2,Electronic,Basic,Yes
3606-TWKGI,Male,1,13,106.9,1364.3,Electronic,Premium,Yes
7529-ZDFXI,Male,1,57,89.85,4925.35,Electronic,Premium,No
7605-BDWDC,Female,0,31,49.85,1520.1,Bank Transfer,Basic,No
1950-KSVVJ,Female,0,45,113.3,5032.25,Mailed,Premium,No
0123-CRBRT,Female,0,61,88.1,5526.75,Mailed,Premium,No
6292-TOSSS,Male,0,50,24.9,1195.25,Bank Transfer,Basic,No
3197-ARFOY,Female,1,19,105.0,2007.25,Mailed,Premium,No
6323-AYBRX,Male,0,59,19.35,1099.6,Mailed,Basic,Yes
7014-ZZXAW,Female,0,71,24.25,1732.95,Credit Card,Basic,No
4385-GZQXV,Female,1,16,94.45,1511.2,Electronic,Premium,Yes
7633-MVPUY,Male,0,57,59.75,3450.15,Electronic,Standard,No
6366-ZGQGL,Male,0,1,24.8,24.8,Bank Transfer,Basic,Yes
4716-HHKQH,Male,1,20,107.05,2172.05,Electronic,Premium,No
5940-AHUHD,Male,0,1,70.6,70.6,Mailed,Standard,Yes
6432-TWQLB,Male,0,5,85.4,401.1,Electronic,Premium,Yes
4484-GLZOU,Female,0,52,105.05,5624.85,Electronic,Premium,Yes
3179-GBRWV,Male,1,21,64.95,1339.8,Bank Transfer,Standard,No
8645-KWHJO,Male,0,14,55.0,771.95,Electronic,Standard,No
4130-MZLCC,Female,0,5,50.55,244.75,Bank Transfer,Standard,No
0314-TKOSI,Female,0,6,55.15,322.9,Mailed,Standard,No
8229-MYEJZ,Female,0,10,51.2,498.25,Electronic,Standard,No
2080-SRCDE,Female,0,1,25.4,25.4,Mailed,Basic,No
9577-WJVCQ,Female,0,68,54.45,3687.75,Mailed,Standard,No
9512-UIBFX,Male,0,18,95.15,1779.95,Mailed,Premium,Yes
6202-DYYFX,Female,0,22,76.0,1783.6,Credit Card,Standard,No
3808-HFKDE,Female,0,20,44.35,927.15,Electronic,Basic,No
5583-SXDAG,Male,0,1,70.0,70.0,Electronic,Standard,Yes
3488-PGMQJ,Male,1,8,74.5,606.55,Electronic,Standard,Yes
3580-REOAC,Male,0,10,44.85,435.4,Credit Card,Basic,Yes
7534-BFESC,Male,1,24,76.1,1712.7,Electronic,Standard,Yes
3727-OWVYD,Male,0,35,61.2,2021.2,Mailed,Standard,No
2294-SALNE,Male,0,23,86.8,1940.8,Mailed,Premium,No
4847-TAJYI,Female,1,6,89.35,567.8,Electronic,Premium,No
1563-IWQEX,Female,0,12,19.7,220.35,Mailed,Basic,No
8203-XJZRC,Male,0,1,20.25,20.25,Mailed,Basic,No
6556-DBKZF,Female,0,71,76.05,5436.45,Electronic,Standard,No
6851-WEFYX,Male,1,35,100.8,3437.5,Electronic,Premium,No
2985-JUUBZ,Male,0,40,74.55,3015.75,Electronic,Standard,No
6390-DSAZX,Female,0,1,73.6,73.6,Mailed,Standard,Yes
0895-LMRSF,Male,0,23,64.9,1509.8,Bank Transfer,Standard,No
8098-LLAZX,Female,1,4,95.45,396.1,Electronic,Premium,Yes
8266-VBFQL,Male,0,4,90.4,356.65,Electronic,Premium,No
8181-YHCMF,Female,0,68,60.3,4109.0,Credit Card,Standard,No
2240-HSJQD,Male,0,38,81.85,3141.7,Mailed,Premium,No
1248-DYXUB,Male,0,52,24.8,1229.1,Mailed,Basic,No
0265-EDXBD,Male,1,32,74.9,2303.35,Electronic,Standard,Yes
4115-BNPJY,Male,0,29,75.55,2054.4,Mailed,Standard,No
3167-SNQPL,Male,1,38,101.15,3741.85,Electronic,Premium,No
4091-TVOCN,Male,0,48,78.75,3682.45,Credit Card,Standard,No
1098-TDVUQ,Female,0,1,19.25,19.25,Bank Transfer,Basic,No
7277-OZCGZ,Female,0,22,89.05,1886.25,Electronic,Premium,No
1557-EMYVT,Female,0,43,115.05,4895.1,Credit Card,Premium,No
2799-ARNLO,Female,1,5,69.35,341.6,Electronic,Standard,No
7563-BIUPC,Male,0,5,80.6,415.55,Electronic,Premium,Yes
5027-YOCXN,Male,0,51,110.05,5686.4,Credit Card,Premium,No
3973-SKMLN,Male,0,71,19.9,1355.1,Credit Card,Basic,No
2321-OMBXY,Female,0,38,80.3,3058.65,Credit Card,Premium,Yes
2840-XANRC,Male,1,24,93.15,2231.05,Electronic,Premium,Yes
6745-JEFZB,Male,0,35,91.5,3236.35,Credit Card,Premium,No
5020-ZSTTY,Female,1,54,82.45,4350.1,Bank Transfer,Premium,Yes
9880-TDQAC,Female,0,72,60.0,4264.0,Electronic,Standard,No
8705-WZCYL,Male,0,1,44.8,44.8,Electronic,Basic,No
7102-JJVTX,Female,0,9,48.6,422.3,Mailed,Basic,No
8626-PTQGE,Male,0,69,60.05,4176.7,Bank Transfer,Standard,No
4983-CLMLV,Female,0,52,102.7,5138.1,Credit Card,Premium,No
5701-YVSVF,Female,1,11,82.9,880.05,Electronic,Premium,No
5804-LEPIM,Female,1,2,70.35,139.05,Electronic,Standard,Yes
5697-GOMBF,Female,1,28,35.9,973.65,Electronic,Basic,No
2739-CACDQ,Female,1,17,82.65,1470.05,Credit Card,Premium,No
9385-EHGDO,Female,0,35,19.85,739.35,Mailed,Basic,No
9498-FIMXL,Female,0,8,19.2,161.95,Mailed,Basic,No
2379-GYFLQ,Male,0,46,94.9,4422.95,Credit Card,Premium,No
0122-OAHPZ,Female,0,7,73.85,511.25,Electronic,Standard,Yes
2868-SNELZ,Female,0,2,80.6,155.8,Mailed,Premium,Yes
4322-RCYMT,Male,0,68,75.8,5293.95,Bank Transfer,Standard,Yes
6680-NENYN,Female,0,43,104.6,4759.85,Electronic,Premium,Yes
2088-IEBAU,Female,0,68,88.15,6148.45,Electronic,Premium,No
7982-VCELR,Female,0,36,94.8,3565.65,Credit Card,Premium,No
1343-EHPYB,Male,0,63,103.4,6603.0,Electronic,Premium,Yes
6035-BXTTY,Female,1,32,54.65,1830.1,Bank Transfer,Standard,No
6885-PKOAM,Female,0,71,85.75,6223.8,Credit Card,Premium,No
7520-HQWJU,Female,0,66,67.45,4508.65,Bank Transfer,Standard,No
9639-BUJXT,Male,0,63,20.5,1328.15,Mailed,Basic,No
5924-SNGKP,Female,0,41,20.25,865.0,Credit Card,Basic,No
0021-IKXGC,Female,1,1,72.1,72.1,Electronic,Standard,No
2034-GDRCN,Female,0,2,90.4,168.2,Electronic,Premium,Yes
8966-SNIZF,Female,0,70,19.45,1303.5,Bank Transfer,Basic,No
6243-OZGFH,Female,0,23,44.95,996.85,Electronic,Basic,No
4654-DLAMQ,Female,1,64,97.0,6430.9,Bank Transfer,Premium,No
0513-RBGPE,Male,0,37,62.8,2278.75,Credit Card,Standard,No
5160-UXJED,Male,0,17,44.6,681.4,Mailed,Basic,No
4115-NZRKS,Female,1,7,89.15,574.35,Electronic,Premium,No
0219-YTZUE,Male,0,4,84.8,371.9,Bank Transfer,Premium,Yes
0623-IIHUG,Female,1,21,41.9,840.1,Electronic,Basic,Yes
4572-DVCGN,Female,0,10,80.25,846.0,Bank Transfer,Premium,Yes
3351-NGXYI,Female,1,16,54.1,889.0,Electronic,Standard,No
8984-EYLLL,Male,0,64,105.25,6823.4,Electronic,Premium,No
9057-MSWCO,Male,1,27,30.75,805.1,Credit Card,Basic,Yes
9833-TGFHX,Male,0,42,97.1,4016.75,Electronic,Premium,No
9294-TDIPC,Male,0,5,20.2,83.75,Mailed,Basic,No
5229-DTFYB,Female,0,41,98.8,3959.15,Bank Transfer,Premium,No
0104-PPXDV,Male,0,58,50.3,2878.55,Credit Card,Standard,No
5176-LMJXE,Female,0,47,20.55,945.7,Mailed,Basic,No
3583-KRKMD,Male,0,18,75.9,1373.05,Bank Transfer,Standard,No
1010-DIAUQ,Male,0,5,96.5,492.55,Bank Transfer,Premium,Yes
9069-LGEUL,Male,0,23,59.95,1406.0,Bank Transfer,Standard,No
7302-ZHMHP,Female,0,1,19.15,19.15,Mailed,Basic,No
9571-EDEBV,Male,0,71,98.65,6962.85,Credit Card,Premium,No
3520-FJGCV,Male,0,72,112.6,8126.65,Credit Card,Premium,No
6563-VRERX,Male,0,33,20.6,690.25,Mailed,Basic,No
0259-GBZSH,Male,0,2,85.65,181.5,Electronic,Premium,Yes
6122-EFVKN,Male,0,24,35.75,830.8,Mailed,Basic,No
2805-EDJPQ,Female,0,56,99.75,5608.4,Credit Card,Premium,No
6862-CQUMB,Male,0,37,96.1,3646.8,Credit Card,Premium,No
